fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Oct,02,ANDHRA PRADESH,0216,KONASEEMA,4920338,291.294395610015,39,2646,3197.138664605,5558,0,21497,4735138,2292912,117188,42676,2310,530.73753,17521.0678130052,119374,167076,152102,250957,4281,228949,352846,27055,13793.1916184002,2951512,40,87.11,3.11,100,NA
2024-2025,Oct,02,ANDHRA PRADESH,0218,NTR,6299684,258.444916325603,45,2337,2191.580695499,10256,2,20989,6530875,2507775,122019,519599,23301,414.28897,19484.5840945787,143224,238374,173937,318802,6197,208768,374081,31245,16878.7144290797,3821229,36,68.02,19.92,99.98,NA
2024-2025,Oct,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,5068450,256.931588730321,46,3296,6577.233000277,10718,0,33011,7210286,1087541,64904,474966,25303,748.12164,25850.8570120769,156675,268880,219176,414203,7641,275249,508273,43729,18525.5023717999,3904526,62,38.05,55.08,99.94,NA
2024-2025,Oct,02,ANDHRA PRADESH,0224,TIRUPATI,6528234,265.227528663379,46,2349,2959.139960579,10701,5,29262,7524410,2961976,153636,597743,32666,843.89071,23759.8373600792,160829,238914,223690,398119,13740,273367,472263,39963,19956.8066895002,4906893,40,25.93,69.74,99.99,NA
2024-2025,Nov,02,ANDHRA PRADESH,0220,PALNADU,5902858,248.565970561783,32,2143,3080.087476212,4177,4,31611,5955184,1537282,121184,531545,41214,582.46001,18465.108394552,183850,308756,258742,463932,2008,329123,565876,35788,14802.56090834,3185221,25,75.44,20.11,99.95,NA
2024-2025,Nov,02,ANDHRA PRADESH,0201,SRIKAKULAM,15962915,253.657208619014,49,6514,5723.930638051,13689,1,40132,16203743,1465214,61090,1160061,39841,1837.33365,48663.2264736499,324728,469191,382679,672936,14491,435980,743778,53821,41101.9621855989,11376734,46,17.48,76.47,99.99,NA
2024-2025,Nov,02,ANDHRA PRADESH,0208,PRAKASAM,11700109,208.414442123212,40,4071,6559.129206804,4970,3,42226,11587702,2761854,201233,363295,21887,1613.13515,32322.7088350043,282825,482003,382110,726930,4237,446327,821747,47196,24150.4444782003,6606749,33,11.35,83.06,99.96,NA
2024-2025,Nov,02,ANDHRA PRADESH,0210,CHITTOOR,4795023,257.294858361958,45,1667,5038.092578121,9637,0,45330,6161445,1828588,111012,246847,13479,1162.8569,22054.0306639209,134657,208378,210928,389506,4979,269111,483198,54967,15853.0811857999,3784131,62,60.73,27.59,99.96,NA
2024-2025,Nov,02,ANDHRA PRADESH,0211,Y.S.R,6574989,259.882321925029,45,2179,7437.308833498,8534,4,35378,6388475,1337111,79352,91002,5397,1458.95484,25498.780839098,141720,223635,191006,354524,4732,240956,441284,43912,16602.5171656,4088909,45,33.2,58.92,99.99,NA
2024-2025,Nov,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,10940095,259.863338909434,59,4032,26567.810234688,11687,2,61263,12072240,235267,9899,11116962,406645,955.1818,58894.3179798482,202039,359522,227277,444886,31174,244494,469657,72950,31371.3259451602,6318360,80,58.82,16.28,99.99,NA
2024-2025,Nov,02,ANDHRA PRADESH,0217,ELURU,10068898,250.462407831625,41,3252,3982.82822964,7452,3,37095,9897918,3333411,205555,1100905,53485,707.50504,29480.8970176398,240447,387785,318110,588855,6551,373221,671771,44547,24790.5637479998,5783030,50,42.47,49.5,99.98,NA
2024-2025,Nov,02,ANDHRA PRADESH,0223,ANNAMAYYA,6483863,258.702042296768,49,1432,4552.754704599,9226,0,35537,6702167,1357832,67871,270472,12953,812.33876,22703.736371739,136632,202590,201759,346143,6458,247232,413526,44763,17338.64290714,3928963,60,43.43,47.42,99.98,NA
2024-2025,Nov,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1191426,290.877098236986,45,217,438.969046105,1523,0,4916,1206022,94045,4345,11963,495,278.00604,4225.01688380466,26353,36285,31430,49775,1363,35959,55200,6439,3508.04179769966,878449,60,4.67,89.88,100,NA
2024-2025,Nov,02,ANDHRA PRADESH,0209,NELLORE,5762922,250.28571952945,36,1978,5721.330205568,9165,3,49689,7496837,2104493,139298,372914,29269,1150.07433,25634.916962968,202885,298010,275204,478092,1711,354735,598290,58854,18763.5124274,4714496,39,41.94,47.68,99.98,NA
2024-2025,Nov,02,ANDHRA PRADESH,0213,KURNOOL,5380706,291.928971745405,30,2363,5191.520769725,6802,1,40724,5429949,1072264,105284,89384,6986,1307.32151,22350.4365617249,180733,308475,254866,497042,2156,328648,621327,47526,15851.5942819999,2973609,45,52.48,36.71,99.95,NA
2024-2025,Nov,02,ANDHRA PRADESH,0220,PALNADU,5902858,248.436725268767,32,2143,3080.087476212,4270,4,31613,5987055,1543273,121263,534650,41249,582.46001,18536.590868252,184391,309638,259031,464404,2057,329288,566168,35883,14874.04338204,3200824,25,75.25,19.97,99.95,NA
2024-2025,Nov,02,ANDHRA PRADESH,0215,ANAKAPALLI,9782046,292.539877043252,47,3555,5055.570824759,7007,1,34876,9500739,772897,34626,384845,16760,799.00112,33648.0221335593,200038,288595,236490,386802,5493,284721,448328,41883,27793.4501888003,6428680,59,17.29,66.89,99.99,NA
2024-2025,Nov,02,ANDHRA PRADESH,0218,NTR,6448955,258.458154681664,45,2342,2217.510790983,10302,2,21186,6557726,2517941,122045,521284,23290,419.22389,19585.7122896627,143406,238688,174015,318972,6405,209045,374639,31488,16948.9776086797,3835859,36,67.96,19.82,99.98,NA
2024-2025,Nov,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,5275900,257.62814071738,46,3372,6764.441022253,10857,0,33859,7491427,1130280,65080,484773,25360,753.92882,26818.3939355528,159504,274036,220239,416172,8673,276299,510208,44716,19300.0240932998,4053397,61,38.23,53.6,99.96,NA
2024-2025,Nov,02,ANDHRA PRADESH,0206,KRISHNA,6169753,261.203951418201,43,2142,3403.071820708,23925,0,27022,6068816,2290824,119891,104638,5569,907.20841,20162.267427008,140940,241150,175508,322749,7956,215028,379362,50947,15851.9871963,3281265,30,82.81,6.71,99.99,NA
2024-2025,Nov,02,ANDHRA PRADESH,0209,NELLORE,5762922,251.167167466261,36,1970,5721.330205568,9165,3,49581,7432727,2086784,139217,368763,29240,1150.07433,25539.974406968,202206,296903,274975,477685,1658,354678,598174,58746,18668.5698714,4674526,39,41.81,47.84,99.98,NA
2024-2025,Nov,02,ANDHRA PRADESH,0211,Y.S.R,6574989,259.840246281985,45,2177,7434.631133498,8347,4,35305,6367376,1331575,79333,90713,5396,1448.844,25428.480613598,141460,223198,190928,354404,4703,240878,441155,43652,16545.0054801,4075345,45,33.12,59.17,99.99,NA
2024-2025,Nov,02,ANDHRA PRADESH,0212,ANANTAPUR,7946193,263.025348740285,43,3748,7581.982761115,8092,1,41784,8212656,1463352,94415,321423,17336,1375.20836,30558.558205955,189904,322960,256007,479128,6914,314163,580762,49876,21601.36708484,4568628,51,35.87,54.78,99.94,NA
2024-2025,Nov,02,ANDHRA PRADESH,0213,KURNOOL,5380706,291.937046225143,30,2362,5191.520769725,6775,1,40679,5414326,1069193,105263,88887,6982,1307.32151,22305.2656771249,180395,307852,254788,496906,2132,328585,621204,47454,15806.4233973999,2965597,45,52.55,36.69,99.95,NA
2024-2025,Nov,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,10940095,259.465638413909,58,4005,26559.320194688,11056,2,61494,11737197,232168,9884,10797498,405354,929.26042,57942.5737426362,200995,357274,226632,443553,28497,243803,468236,72550,30453.9931279482,6141362,80,59.15,16.32,99.99,NA
2024-2025,Nov,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1191426,290.9326766763,45,215,438.969046105,1443,0,4958,1199241,93511,4344,11793,495,276.0068,4203.95978720463,26306,36210,31410,49749,1273,35942,55178,6401,3488.98394109963,873255,60,4.59,90.14,100,NA
2024-2025,Nov,02,ANDHRA PRADESH,0206,KRISHNA,6169753,261.2025707175,43,2138,3403.071820708,23356,0,26891,6064093,2289481,119883,104571,5568,907.20841,20149.847037408,140848,241023,175469,322681,7917,214945,379217,50247,15839.5668067,3278459,31,83.02,6.73,99.99,NA
2024-2025,Nov,02,ANDHRA PRADESH,0207,GUNTUR,2565760,252.284644758429,34,627,1752.509161587,2788,11,16553,2194943,959413,71682,68767,5619,488.62028,7778.63359178699,64061,102048,90404,157734,578,134278,224630,19341,5537.50415019999,1283426,48,89.23,2.85,99.98,NA
2024-2025,Nov,02,ANDHRA PRADESH,0213,KURNOOL,5380706,292.53651829875,29,2356,5189.295439725,6310,1,40781,5373399,1061045,105143,87071,6935,1299.79391,22208.2436986249,179347,306007,254347,496163,2082,328365,620835,47091,15719.1543488998,2944535,45,52.58,36.8,99.95,NA
2024-2025,Nov,02,ANDHRA PRADESH,0218,NTR,6448955,258.511555950321,45,2337,2216.402240983,10273,2,20984,6535458,2510205,122024,520109,23301,414.28897,19525.6053752627,143251,238421,173941,318813,6220,208787,374124,31257,16894.9141642797,3823818,36,68.03,19.92,99.98,NA
2024-2025,Nov,02,ANDHRA PRADESH,0220,PALNADU,5902858,248.57519027923,32,2143,3079.839868612,3983,4,31603,5951669,1536608,121191,531393,41214,580.9249,18455.1373101519,183798,308669,258730,463914,2008,328957,565621,35586,14794.3725415399,3183338,25,75.44,20.12,99.95,NA
2024-2025,Nov,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,5275900,257.961487371357,46,3299,6769.353473953,10729,0,33184,7249790,1092854,64926,477025,25316,748.12164,26219.1412292529,157095,269655,219361,414541,7739,275361,508466,43913,18701.6661152999,3924815,62,37.91,54.37,99.95,NA
2024-2025,Oct,02,ANDHRA PRADESH,0202,VIZIANAGARAM,13885322,230.812308425563,45,7272,5495.37812117,7244,1,37395,13818375,1534504,74680,386218,18063,1245.0493,38634.9377455708,302734,451087,351332,642573,5543,387108,692455,44639,31894.5103244008,9421975,49,5.11,89.72,99.99,NA
2024-2025,Oct,02,ANDHRA PRADESH,0204,EAST GODAVARI,3488673,252.887045123449,40,1821,3272.841929061,6799,0,19381,3607792,1366457,70854,76964,3179,452.26173,12848.7422420612,89368,116850,121769,194553,1870,163728,252108,26180,9123.63858300017,2002092,54,46.78,37.18,99.99,NA
2024-2025,Oct,02,ANDHRA PRADESH,0208,PRAKASAM,11391682,207.898341195026,40,4060,6161.107251502,4474,3,41596,11448766,2736821,201195,356843,21863,1430.05725,31392.9591028021,281560,479530,381839,726431,3986,445843,820805,46070,23801.7946013001,6531873,32,10.5,84.99,99.95,NA
2024-2025,Oct,02,ANDHRA PRADESH,0217,ELURU,9834366,250.561202193479,40,3228,3787.06340818,6781,3,36437,9584414,3252052,205471,1039962,53354,629.42005,28431.3063997801,238394,384085,317583,587835,3669,372899,671027,43218,24014.8229416001,5603534,50,41.79,50.76,99.95,NA
2024-2025,Oct,02,ANDHRA PRADESH,0220,PALNADU,5837265,248.62974915626,32,2141,2846.619508236,2939,4,32286,5908523,1527509,121111,527218,41194,517.14255,18054.1079719759,183268,307762,258528,463517,1946,328397,564618,35225,14690.3459137399,3161922,25,75.45,20.3,99.94,NA
2024-2025,Oct,02,ANDHRA PRADESH,0223,ANNAMAYYA,6189643,258.501958498093,47,1410,4315.738933997,8286,1,34994,6279278,1284433,68322,256642,13122,725.32385,21273.1193935369,130935,193738,201032,344638,4816,247099,412942,43280,16232.0566095399,3688723,60,42.72,48.75,99.98,NA
2024-2025,Oct,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,10099233,249.8448733304,60,3965,9348.719141392,7979,1,37890,10350248,1204665,45630,4182199,136186,613.00627,35821.2894163742,172415,292461,192643,373437,20155,211601,400871,45869,25859.5640049822,6026199,73,37.41,50.49,99.98,NA
2024-2025,Oct,02,ANDHRA PRADESH,0207,GUNTUR,2511229,251.811537445891,34,627,1565.153761587,2457,12,16734,2181254,953602,71668,68353,5616,437.84458,7495.647574587,63895,101836,90330,157654,557,134129,224395,19191,5492.649233,1274159,47,89.6,2.87,99.97,NA
2024-2025,Oct,02,ANDHRA PRADESH,0217,ELURU,9834366,250.528553927027,40,3226,3540.61188502,6750,3,36371,9558584,3246633,205457,1036284,53340,629.42005,28117.0142061201,238149,383624,317480,587643,3548,372841,670921,43121,23946.9822711001,5589398,50,41.69,50.88,99.95,NA
2024-2025,Oct,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,5068450,255.416996301427,44,3213,5709.961203168,10406,0,32144,6835343,1036836,64675,457229,25187,677.12793,23845.7169106678,153027,262109,217742,411456,6552,273970,505808,42550,17458.6277774998,3704892,62,37.45,56.36,99.89,NA
2024-2025,Oct,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,10099233,249.884815561388,59,3965,8279.050507892,7815,1,38018,10341174,1203840,45628,4175890,136147,613.00627,34733.0803546742,172381,292388,192628,373392,20106,211565,400786,45833,25841.0235767822,6020925,73,37.37,50.53,99.98,NA
2024-2025,Oct,02,ANDHRA PRADESH,0205,WEST GODAVARI,3379110,268.614435745196,31,1272,2906.57172708,4611,6,25072,3047772,884243,63530,25953,1768,414.29824,11507.6255276801,96191,137775,135577,232256,1080,180294,295766,29683,8186.75556060007,1698109,45,82.52,3.56,99.99,NA
2024-2025,Oct,02,ANDHRA PRADESH,0206,KRISHNA,6104551,261.132854473173,43,2138,3048.668505448,17684,0,32351,6057433,2287764,119874,104516,5567,808.3841,19675.000306148,140824,240977,175457,322636,7908,214755,378868,50035,15817.9477007,3274177,31,83.05,6.76,99.98,NA
2024-2025,Oct,02,ANDHRA PRADESH,0207,GUNTUR,2511229,252.121731046362,34,626,1692.614078887,2470,11,16733,2182391,954160,71671,68347,5616,437.84458,7632.74062628701,63895,101833,90329,157657,557,134147,224433,19203,5502.28196740001,1274920,47,89.58,2.87,99.97,NA
2024-2025,Oct,02,ANDHRA PRADESH,0210,CHITTOOR,4494144,256.255737175725,43,1639,4523.966368552,7694,0,45028,5588776,1694856,110276,226557,13341,1022.80016,19868.325666452,128229,197121,208383,384757,3753,267268,479775,52722,14321.5591379,3450323,62,63.96,29.59,99.94,NA
2024-2025,Oct,02,ANDHRA PRADESH,0211,Y.S.R,6440259,259.761948098421,44,2172,6945.207711072,6296,4,37366,6324008,1321224,79311,90072,5393,1288.41001,24660.984099772,140999,222417,190800,354200,4516,240703,440859,43662,16427.3663787,4047872,44,33.35,60.65,99.99,NA
2024-2025,Oct,02,ANDHRA PRADESH,0212,ANANTAPUR,7618003,263.430404387581,42,3713,6975.281063592,7205,1,41274,7982896,1424707,94389,315799,17408,1234.27064,29238.926918232,187175,318227,255795,478528,5954,315276,582185,48479,21029.37521464,4445224,51,35.16,55.75,99.94,NA
2024-2025,Oct,02,ANDHRA PRADESH,0216,KONASEEMA,4920338,291.505887862817,39,2641,3139.128513501,3682,0,23098,4671296,2265766,117127,41958,2305,477.87757,17234.1089630012,119016,166540,151913,250674,3765,228728,352530,26780,13617.1028795002,2915099,39,87.38,3.16,100,NA
2024-2025,Oct,02,ANDHRA PRADESH,0219,BAPATLA,5747911,266.015369182626,33,2063,2501.425997243,6556,2,33035,5435291,1922889,138899,209012,14746,495.10449,17455.239907043,161003,273828,210380,389540,1245,265862,468502,39591,14458.7094198,2950547,24,73.94,20.52,99.98,NA
2024-2025,Oct,02,ANDHRA PRADESH,0202,VIZIANAGARAM,13885322,230.822877522545,45,7274,5487.25508547,7936,1,36819,13834227,1537597,74684,386726,18067,1246.65535,38666.4712798708,302787,451212,351333,642578,5630,387116,692478,44755,31932.5608444008,9432101,49,5.16,89.51,100,NA
2024-2025,Oct,02,ANDHRA PRADESH,0212,ANANTAPUR,7618003,262.954646853518,42,3718,6976.700540892,7252,1,41353,8007544,1428100,94407,316131,17396,1247.9903,29280.8998877321,187383,318657,255847,478652,6007,315317,582315,48605,21056.2090468401,4458280,51,35.27,55.65,99.94,NA
2024-2025,Oct,02,ANDHRA PRADESH,0216,KONASEEMA,4920338,290.84488250827,39,2643,3139.128513501,3819,0,23095,4688883,2272987,117143,42208,2308,477.87757,17254.3823358012,119096,166681,151940,250718,3926,228750,352562,26914,13637.3762523002,2925516,40,87.36,3.15,100,NA
2024-2025,Oct,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1156740,291.111611031986,45,215,429.26413538,1390,0,4923,1191224,92774,4344,11504,495,248.06901,4145.12452277966,26258,36136,31397,49739,1108,35904,55137,6313,3467.79137739966,867499,61,4.5,90.65,100,NA
2024-2025,Oct,02,ANDHRA PRADESH,0208,PRAKASAM,11391682,207.882083742082,40,4060,6161.072251502,4484,3,41607,11451638,2737825,201202,356888,21863,1430.05725,31397.0331985021,281582,479582,381845,726446,3988,445864,820851,46091,23805.9036970001,6533463,32,10.51,84.95,99.95,NA
2024-2025,Oct,02,ANDHRA PRADESH,0218,NTR,6299684,258.459746098325,45,2335,2124.72590112,10033,2,21086,6507212,2499261,122010,517765,23287,361.54136,19304.7908743997,143054,238084,173864,318668,6129,208494,373564,31119,16818.5236132797,3808024,36,68.03,19.99,99.97,NA
2024-2025,Oct,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,5068450,257.880431675436,45,3239,6066.068125202,10444,0,32321,6940608,1051175,64704,462728,25211,677.12793,24641.6659265018,154067,264072,218125,412208,6730,274287,506436,42765,17898.4698712998,3760854,62,37.6,56.21,99.93,NA
2024-2025,Oct,02,ANDHRA PRADESH,0223,ANNAMAYYA,6189643,258.503579576524,47,1411,4313.630003997,8317,1,35006,6291290,1286390,68326,257030,13128,725.32385,21302.1637055369,131082,193992,201060,344691,4853,247141,413021,43323,16263.2098515399,3695333,60,42.79,48.7,99.98,NA
2024-2025,Oct,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,10099233,249.895990199191,60,3966,9348.719141392,8401,1,37483,10353612,1204961,45630,4184953,136191,613.00627,35834.9866401742,172417,292469,192643,373444,20183,211611,400901,45884,25873.2612287822,6028101,73,37.42,50.46,99.98,NA
2024-2025,Oct,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1156740,291.143287558142,45,215,428.53240128,1226,0,5081,1189801,92661,4343,11497,495,248.06901,4140.62715807965,26252,36128,31394,49737,1100,35901,55134,6307,3464.02574679965,866262,61,4.45,90.75,100,NA
2024-2025,Oct,02,ANDHRA PRADESH,0209,NELLORE,5621152,250.181162081794,35,1922,4799.372976193,6130,4,50551,6990162,1970434,138293,338999,29024,1058.71329,23346.154789193,196639,287471,273157,474244,1397,353308,595411,56681,17488.068523,4401620,39,41.47,48.91,99.96,NA
2024-2025,Oct,02,ANDHRA PRADESH,0210,CHITTOOR,4494144,255.197859019848,43,1648,4309.75839768,7606,0,44813,5502349,1674902,110128,223690,13327,1022.80016,19374.43540148,127194,195325,207978,384015,3645,266965,479232,52419,14041.8768438,3400645,62,64.03,29.66,99.94,NA
2024-2025,Oct,02,ANDHRA PRADESH,0216,KONASEEMA,4920338,291.207346523287,39,2641,2737.591327521,3475,0,23252,4666734,2263867,117124,41915,2305,477.87757,16805.3411482211,118998,166514,151905,250656,3757,228642,352386,26727,13589.8722507001,2912337,39,87.41,3.16,100,NA
2024-2025,Oct,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,5068450,256.50121535497,44,3231,5709.961203168,10442,0,32232,6909397,1046761,64702,459472,25202,677.12793,24109.7764118678,153728,263482,218008,411967,6656,274048,505954,42674,17722.6872786998,3744209,62,37.56,56.28,99.91,NA
2024-2025,Oct,02,ANDHRA PRADESH,0204,EAST GODAVARI,3488673,252.795201061332,40,1827,3405.432028961,6917,0,19772,3683304,1390185,70902,78304,3176,452.26173,13168.9095114611,89960,117713,122056,194971,2046,164071,252675,26689,9311.21575250009,2039592,54,46.11,36.33,99.99,NA
2024-2025,Oct,02,ANDHRA PRADESH,0205,WEST GODAVARI,3379110,268.635058115453,31,1277,3137.922594539,5160,6,24647,3063471,888291,63516,26115,1760,414.29824,11781.7779357391,96355,138053,135554,232194,1191,180198,295638,29807,8229.55710120005,1706351,45,81.71,3.55,99.99,NA
2024-2025,Oct,02,ANDHRA PRADESH,0207,GUNTUR,2511229,252.200743573002,34,626,1743.834421587,2593,11,16634,2187102,956318,71666,68515,5616,443.1512,7702.873128287,63943,101901,90343,157667,572,134238,224572,19227,5515.8875067,1278142,47,89.45,2.86,99.97,NA
2024-2025,Oct,02,ANDHRA PRADESH,0208,PRAKASAM,11391682,208.045204056373,40,4066,6379.436879502,4708,3,41787,11479818,2742028,201219,357917,21871,1448.90285,31711.5505129022,281793,480011,381889,726516,4030,446048,821222,46495,23883.2107834002,6548434,33,10.71,84.67,99.95,NA
2024-2025,Oct,02,ANDHRA PRADESH,0215,ANAKAPALLI,9609981,292.904071520491,47,3547,5017.820581175,6438,1,34569,9410003,764276,34599,377827,16733,706.52113,33286.6236283753,199254,287343,236274,386506,4989,284446,447962,41007,27562.2819172003,6367154,58,17.15,67.38,99.99,NA
2024-2025,Oct,02,ANDHRA PRADESH,0223,ANNAMAYYA,6189643,258.678160629609,48,1385,4398.923090664,8665,0,35204,6367095,1297455,67888,259444,12986,725.32385,21594.5311722038,131924,195415,200834,344459,5103,246959,412939,43869,16470.2842315398,3736808,60,43.07,48.29,99.98,NA
2024-2025,Oct,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,10099233,249.898144140946,60,3966,9685.12742749199,9424,1,36538,10386932,1207038,45635,4213609,136206,613.00627,36254.8839986741,172462,292610,192659,373479,20561,211723,401108,45962,25956.7503011821,6046511,73,37.47,50.12,99.98,NA
2020-2021,May,02,ANDHRA PRADESH,0206,KRISHNA,5760714,174.600097487916,23,4327,5180.45703,4911,13,88776,5760714,2438490,308890,212567,29668,339.88002,15578.54931,248391,412071,349366,789992,350,657367,1395271,93687,10058.21226,3152992,23,64.5,88.22,100.47,NA
2020-2021,May,02,ANDHRA PRADESH,0207,GUNTUR,5694266,172.13753085054,20,3508,2651.55913,8888,8,100419,5694795,2200334,299047,308731,57888,336.37009,12790.80872,284666,478276,417102,896529,285,834117,1642757,109307,9802.8795,3013637,19,59.77,90.84,100.53,NA
2020-2021,May,02,ANDHRA PRADESH,0212,ANANTAPUR,8282143,162.961812590405,27,7200,6093.53245,6347,46,83344,8282180,1630298,214809,432502,54034,464.18183,20054.50493,298922,509926,459793,1122121,444,871465,1951107,89691,13496.79065,4438417,66,90.47,93,100.23,NA
2018-2019,Nov,02,ANDHRA PRADESH,0204,EAST GODAVARI,11170633,205.995697525714,41,10275,30372.0745453,70719,277,102613,16700818,5200881,320654,2488993,186358,2198.58003,66973.6211069,397801,582870,502953,1065678,20980,844145,1653073,173332,34402.9665316,9229867,58,52.26,54.21,105.31,NA
2018-2019,Nov,02,ANDHRA PRADESH,0205,WEST GODAVARI,12964081,203.046481952718,38,4532,21235.38735,62224,147,91608,12151636,4330692,308294,941600,62116,1610.5628,47519.4195477,316698,492834,413191,876432,11492,746766,1483943,153832,24673.4693977,6669449,46,50.13,57.3,107.09,NA
2020-2021,April,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1322313,99.6444582541749,9,2056,8118.05946,2348,45,125453,1324348,43254,49638,825047,350159,296.74856,9734.44741,143595,216843,386270,846712,2,503649,1073664,127801,1319.63939,740051,69,72.49,77.44,100.64,NA
2020-2021,April,02,ANDHRA PRADESH,0205,WEST GODAVARI,1758848,105.218932770131,11,2394,9627.26085,1226,57,77907,1760408,688720,314335,193448,61683,124.49914,11604.0425,157236,236241,422769,894383,0,763274,1507322,79133,1852.28251,942742,38,60.79,66.5,101.35,NA
2020-2021,April,02,ANDHRA PRADESH,0206,KRISHNA,2018592,128.344797760023,12,2949,5097.01838,548,46,79985,2018592,896618,306962,80599,29511,185.44332,7873.21952,161643,259236,346403,785247,1,651883,1386547,80533,2590.75782,1105669,25,54.32,83.14,100.49,NA
2020-2021,April,02,ANDHRA PRADESH,0208,PRAKASAM,4235224,130.549802583927,14,4539,18140.31374,5622,6,71071,4235724,1199334,328595,105068,39620,260.76923,23930.81229,302168,484743,521250,1101471,11,780074,1506282,76693,5529.72932,2371738,44,75.66,78.24,100.77,NA
2020-2021,April,02,ANDHRA PRADESH,0209,NELLORE,470395,127.64688187587,8,816,10555.94956,682,85,60377,470395,149783,241534,26563,52832,140.54616,11296.94027,56723,79529,318056,698731,0,624302,1265850,61059,600.44455,275253,39,85.93,91.27,101.27,NA
2020-2021,April,02,ANDHRA PRADESH,0211,Y.S.R,1534613,98.557579663407,12,1835,12100.52935,2143,28,70686,1534613,397714,155000,42529,16280,201.82107,13814.82785,121853,179292,291703,636781,0,573737,1158746,72829,1512.47743,916978,59,65.72,68.74,101.22,NA
2020-2021,April,02,ANDHRA PRADESH,0212,ANANTAPUR,2218906,106.592837641613,13,3957,5923.24773,1774,65,80001,2218906,437497,213440,119580,53664,231.52063,8519.96323,170210,279083,454859,1113547,2,864193,1938416,81775,2365.19487,1189035,66,88.55,90.72,100.24,NA
2021-2022,Feb,02,ANDHRA PRADESH,0204,EAST GODAVARI,18441726,219.085649241822,44,9919,26281.8345266,30741,40,60234,18330743,5700679,249116,3095579,125491,1285.85014,67727.7119789998,409990,601485,491063,831796,23791,968072,1790872,90975,40160.0273123998,9726491,41,64.28,66.31,101.02,NA
2021-2022,Feb,02,ANDHRA PRADESH,0209,NELLORE,12370842,208.202890335537,46,3345,14345.4667425,23436,19,41132,12143168,3986936,190363,761513,40198,865.8294,40493.7228968,260101,410357,310729,558292,18958,650794,1310965,64568,25282.4267543,7132263,25,56.81,60.67,101.18,NA
2021-2022,Feb,02,ANDHRA PRADESH,0212,ANANTAPUR,25454027,224.373690345441,61,9381,19100.5223931,29194,20,72610,24588083,4491110,169171,1228993,42381,1419.29719,75689.0087954,402063,712784,468200,902882,66721,921551,2049652,101804,55169.1892123,13279783,62,73.64,76.51,100.35,NA
2021-2022,Feb,02,ANDHRA PRADESH,0213,KURNOOL,13970234,202.639658953461,41,4552,19445.4941257,27161,84,50368,13921883,3432169,220857,274312,18699,1134.94706,48791.6974167999,333758,581050,452053,896822,19027,883310,1865782,77529,28211.2562310999,7806577,46,58.6,62.07,100.11,NA
2019-2020,May,02,ANDHRA PRADESH,0210,CHITTOOR,6291864,180.283284185274,24,2873,63.55645,2454,30,108484,3428077,979112,242098,157313,35334,505.78591,6749.59216,140878,206808,372157,852161,384,692085,1482520,110938,6180.2498,2079283,74,67.84,74.65,102.87,NA
2018-2019,Oct,02,ANDHRA PRADESH,0201,SRIKAKULAM,17412102,198.894656636463,46,9136,12149.01578,33323,169,60158,17330189,1778394,108800,1520937,96461,1757.90721,48375.742896,373004,571186,438554,1026866,13352,579618,1296149,93481,34468.819906,11695317,61,74.59,73.75,104,NA
2018-2019,Oct,02,ANDHRA PRADESH,0207,GUNTUR,8067599,200.903548734386,29,3560,25818.02654,36546,214,87560,8468343,2741775,301106,583668,61444,1249.10248,44080.330626,282719,469857,418842,898747,4169,807583,1600231,124106,17013.201606,4669538,44,35.03,43.28,109.89,NA
